"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC01000003.hg.1","OR4F5","79501","olfactory receptor family 4 subfamily F member 5",-0.0793672525011333,4.01114728372192,-0.569832307136391,0.577848264370467,0.816396600803152,-7.72689940764838
"2","TC01000021.hg.1","KLHL17","339451","kelch like family member 17",-0.137079563685716,7.3663309702996,-1.53118331176014,0.148069743007576,0.486705908840107,-6.73911209344055
"3","TC01000022.hg.1","PLEKHN1","84069","pleckstrin homology domain containing N1",-0.0150124614078004,7.57674188091607,-0.170889903488791,0.866762818714329,0.949807344357876,-7.88304718449617
"4","TC01000023.hg.1","ISG15","9636","ISG15 ubiquitin like modifier",1.07836823516108,8.22675230309944,9.82684514605013,1.19012873632294e-07,6.5322348942706e-06,7.50729822344539
"5","TC01000027.hg.1","MIR200B","406984","microRNA 200b",-0.158122577469587,6.01613270490101,-1.46742372178195,0.164430009158925,0.516412304068354,-6.82720312400138
"6","TC01000028.hg.1","MIR200A","406983","microRNA 200a",-0.160484617248967,4.21865268331595,-1.28542352829919,0.2195630510187,0.587994398539376,-7.06311029927477
"7","TC01000029.hg.1","MIR429","554210","microRNA 429",0.0875902623332383,4.26382851230257,0.718485231420569,0.484312413614979,0.776665257693632,-7.6274209659628
"8","TC01000030.hg.1","TTLL10","254173","tubulin tyrosine ligase like 10",-0.0325623894711606,7.28217787554848,-0.350320966889513,0.731328097228364,0.889021996537363,-7.83327514634156
"9","TC01000033.hg.1","PUSL1","126789","pseudouridine synthase like 1",-0.162055276949507,7.3925544825673,-1.92224943225489,0.0752254685413621,0.338041285794452,-6.14484760452952
"10","TC01000035.hg.1","TAS1R3","83756","taste 1 receptor member 3",-0.0542829674187413,7.27551326090586,-0.630601692818546,0.538489411138312,0.800046474716748,-7.68885008048652
"11","TC01000038.hg.1","TMEM88B","643965","transmembrane protein 88B",-0.0598338376129544,8.29491997094973,-0.537224898191804,0.599572460084143,0.825881646216921,-7.74579970399431
"12","TC01000048.hg.1","MMP23A","8511","matrix metallopeptidase 23A (pseudogene)",-0.11049265687679,7.46090489980243,-1.34852590991619,0.198964285549409,0.563740754861572,-6.98401995886538
"13","TC01000052.hg.1","CALML6","163688","calmodulin like 6",-0.0532462043835062,6.97982282549622,-0.444490367205694,0.663502244038455,0.857408754506766,-7.79367956697591
"14","TC01000053.hg.1","GABRD","2563","gamma-aminobutyric acid type A receptor delta subunit",-0.170446938075341,7.42271282455028,-1.90532450625326,0.0775474206655299,0.34361834991017,-6.17229695026932
"15","TC01000061.hg.1","TNFRSF14","8764","TNF receptor superfamily member 14",-0.0745774960709262,6.83837803826648,-0.712308405855126,0.488010425693032,0.777875248406044,-7.63198253899891
"16","TC01000064.hg.1","PRXL2B","127281","peroxiredoxin like 2B",-0.0387177534200154,7.86860470584733,-0.449751383392631,0.659795045641415,0.855799258843329,-7.79119773194061
"17","TC01000066.hg.1","ACTRT2","140625","actin related protein T2",-0.0304747637023395,6.48220737186573,-0.297110812299041,0.770757536470538,0.90618719757211,-7.8515707686623
"18","TC01000068.hg.1","MIR4251","100422968","microRNA 4251",0.0772186106849615,3.8658796422948,0.352713409693705,0.729572672578231,0.887724314349084,-7.83238303662298
"19","TC01000069.hg.1","ARHGEF16","27237","Rho guanine nucleotide exchange factor 16",-0.103712656399769,6.92519433517928,-1.08775167827987,0.295131217569016,0.662417521464168,-7.29097068626429
"20","TC01000071.hg.1","TP73","7161","tumor protein p73",-0.0272667482173894,7.22566213724805,-0.258944807942248,0.799457482729982,0.918854925824385,-7.8628639179997
