"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","77/1360","199/10616",1.19428070451974e-20,1.5848104948977e-17,1.34765148973175e-17,"OAS2/IFI6/OASL/IFIT1/IFITM2/HERC5/IFIT2/DDX58/RSAD2/IFITM3/OAS1/IFI35/OAS3/USP18/IFI27/STAT2/B2M/HLA-B/HLA-E/TRIM21/IFITM1/SP100/SAMHD1/TRIM38/IFIT3/HLA-C/STAT1/TRIM14/XAF1/HLA-A/HLA-F/GBP4/TRIM5/GBP3/HLA-G/EGR1/GBP1/MT2A/PSMB8/UBE2L6/IFI30/EIF2AK2/IRF1/TRIM26/ADAR/BST2/PML/IFNB1/IRF7/IRF2/JAK2/ISG15/UBA7/MX1/AAAS/TRIM22/ISG20/ICAM1/IFNGR2/CAMK2D/NUP210/NUP43/SEH1L/TRIM6/GBP7/NUP155/GBP2/IFNA13/PIN1/TRIM25/JAK1/NUP133/NUP188/SOCS1/EIF4G3/IFNGR1/PTPN11",77
"R-HSA-909733","Interferon alpha/beta signaling","41/1360","69/10616",6.69151546268054e-20,4.43982050948854e-17,3.77542346104923e-17,"OAS2/IFI6/OASL/IFIT1/IFITM2/IFIT2/RSAD2/IFITM3/OAS1/IFI35/OAS3/USP18/IFI27/STAT2/HLA-B/HLA-E/IFITM1/SAMHD1/IFIT3/HLA-C/STAT1/XAF1/HLA-A/HLA-F/HLA-G/EGR1/PSMB8/IRF1/ADAR/BST2/IFNB1/IRF7/IRF2/ISG15/MX1/ISG20/GBP2/IFNA13/JAK1/SOCS1/PTPN11",41
"R-HSA-877300","Interferon gamma signaling","40/1360","92/10616",2.67792060549261e-13,1.18453354782956e-10,1.00727399617126e-10,"OAS2/OASL/OAS1/OAS3/B2M/HLA-B/HLA-E/TRIM21/SP100/TRIM38/HLA-C/STAT1/TRIM14/HLA-A/HLA-F/GBP4/TRIM5/GBP3/HLA-G/GBP1/MT2A/IFI30/IRF1/TRIM26/PML/IRF7/IRF2/JAK2/TRIM22/ICAM1/IFNGR2/CAMK2D/TRIM6/GBP7/GBP2/TRIM25/JAK1/SOCS1/IFNGR1/PTPN11",40
"R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","27/1360","55/10616",6.56608756318202e-11,2.17829954908563e-08,1.85232785992924e-08,"MVD/TBL1X/DHCR7/LSS/HELZ2/ELOVL6/FASN/FDPS/FDFT1/ACACA/HMGCR/MVK/CYP51A1/SCD/SQLE/PMVK/SEC24D/MBTPS2/INSIG1/TM7SF2/SCAP/IDI1/TBL1XR1/GPAM/MTF1/MBTPS1/HMGCS1",27
"R-HSA-191273","Cholesterol biosynthesis","17/1360","25/10616",2.41308383249505e-10,6.40432449144186e-08,5.44594919670462e-08,"MVD/ACAT2/DHCR7/EBP/LSS/DHCR24/FDPS/FDFT1/HMGCR/MVK/CYP51A1/HSD17B7/SQLE/PMVK/TM7SF2/IDI1/HMGCS1",17
"R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","22/1360","42/10616",7.881809287171e-10,1.74319348734599e-07,1.48233325541181e-07,"MVD/TBL1X/DHCR7/LSS/HELZ2/ELOVL6/FASN/FDPS/FDFT1/ACACA/HMGCR/MVK/CYP51A1/SCD/SQLE/PMVK/TM7SF2/IDI1/TBL1XR1/GPAM/MTF1/HMGCS1",22
"R-HSA-8957322","Metabolism of steroids","45/1360","151/10616",2.42146379490546e-08,4.59040350834221e-06,3.90347246336639e-06,"MVD/TBL1X/ACAT2/DHCR7/EBP/LSS/DHCR24/HELZ2/LGMN/ELOVL6/FASN/HSD17B14/FDPS/FDFT1/ACACA/HMGCR/CYP24A1/SRD5A3/HSD17B12/STARD4/MVK/CYP51A1/ABCC3/HSD17B7/SCD/SQLE/PMVK/SEC24D/MBTPS2/INSIG1/TM7SF2/OSBPL9/SCAP/IDI1/HSD17B4/BAAT/SCP2/TBL1XR1/GPAM/SLC27A2/MTF1/SLCO1B3/MBTPS1/HMGCS1/AKR1C1",45
"R-HSA-5660526","Response to metal ions","11/1360","14/10616",3.69583696531916e-08,6.13046956622315e-06,5.21307529845018e-06,"MT2A/MT1B/MT1G/MT1F/MT1M/MT1A/MT1H/MT1X/MT1E/MTF1/CSRP1",11
"R-HSA-1236977","Endosomal/Vacuolar pathway","9/1360","11/10616",3.9159246639657e-07,5.19643202908248e-05,4.41881183133813e-05,"B2M/HLA-B/HLA-E/HLA-C/HLA-A/HLA-F/HLA-G/CTSS/LNPEP",9
"R-HSA-5661231","Metallothioneins bind metals","9/1360","11/10616",3.9159246639657e-07,5.19643202908248e-05,4.41881183133813e-05,"MT2A/MT1B/MT1G/MT1F/MT1M/MT1A/MT1H/MT1X/MT1E",9
