"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC01000003.hg.1","OR4F5","79501","olfactory receptor family 4 subfamily F member 5",0.301508994253877,4.01114728372192,2.16474125541396,0.0482302028381763,0.152750854715574,-5.30723662411741
"2","TC01000021.hg.1","KLHL17","339451","kelch like family member 17",0.106816337515429,7.3663309702996,1.19314206311562,0.252700624806476,0.422100354039636,-6.74026259172303
"3","TC01000022.hg.1","PLEKHN1","84069","pleckstrin homology domain containing N1",0.141817683149895,7.57674188091607,1.61433954953563,0.128825226278867,0.290438294018992,-6.18836243560162
"4","TC01000023.hg.1","ISG15","9636","ISG15 ubiquitin like modifier",0.28667050133022,8.22675230309944,2.61234199289246,0.0205186205185295,0.0829297215538761,-4.49890192442632
"5","TC01000027.hg.1","MIR200B","406984","microRNA 200b",0.0713570791783233,6.01613270490101,0.662214545063839,0.518618614184081,0.644176579274761,-7.2335539949214
"6","TC01000028.hg.1","MIR200A","406983","microRNA 200a",-0.0229793794458715,4.21865268331595,-0.184056487853997,0.856616304244499,0.900118086971122,-7.44608291419534
"7","TC01000029.hg.1","MIR429","554210","microRNA 429",0.222396008158935,4.26382851230257,1.82426953787587,0.0895878272605636,0.230578181376668,-5.87057287121666
"8","TC01000030.hg.1","TTLL10","254173","tubulin tyrosine ligase like 10",0.136555880367536,7.28217787554848,1.4691301474412,0.163973187019006,0.333749134487898,-6.39253994365611
"9","TC01000033.hg.1","PUSL1","126789","pseudouridine synthase like 1",0.0754766169611649,7.3925544825673,0.895280220633139,0.385816300560338,0.535499446772338,-7.04794079175242
"10","TC01000035.hg.1","TAS1R3","83756","taste 1 receptor member 3",0.0889117298409579,7.27551326090586,1.03288176780431,0.319224530636218,0.482234156146039,-6.91514977039769
"11","TC01000038.hg.1","TMEM88B","643965","transmembrane protein 88B",0.155656566655072,8.29491997094973,1.39758014043966,0.184057679867646,0.356059046207801,-6.48798250242537
"12","TC01000048.hg.1","MMP23A","8511","matrix metallopeptidase 23A (pseudogene)",0.119324256569973,7.46090489980243,1.45631262940421,0.167430598087151,0.338162988010861,-6.40989647913827
"13","TC01000052.hg.1","CALML6","163688","calmodulin like 6",0.141292549930053,6.97982282549622,1.17948646535437,0.25791814518791,0.427215556967164,-6.75597701980698
"14","TC01000053.hg.1","GABRD","2563","gamma-aminobutyric acid type A receptor delta subunit",0.0218080707192394,7.42271282455028,0.243779395773624,0.810948236234625,0.867695970282859,-7.4324815195237
"15","TC01000061.hg.1","TNFRSF14","8764","TNF receptor superfamily member 14",0.123897070130377,6.83837803826648,1.1833720514129,0.25642516427489,0.426008453955257,-6.75152064580185
"16","TC01000064.hg.1","PRXL2B","127281","peroxiredoxin like 2B",0.128161687775592,7.86860470584733,1.4887458926067,0.158797767303639,0.328084307589691,-6.36576298792682
